Platform: Windows | torch main-process threads: 5 | cpu_count: 6
Environment check completed in 0.01s
run_dir: trained\20260715_132120\smart_cuda_brake2
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
   420 |     3 |     -0.72 |    -0.72 |     0.00 |     0.00 |   0.1498 |    3.03 |   30.0 |   0.0% |      0/0 |    308.6
   430 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.54 |   30.0 |  10.0% |     1/10 |    330.1
   440 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    3.74 |   30.0 |   0.0% |     1/19 |    338.7
   450 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1498 |    1.88 |   30.0 |   0.0% |      0/8 |      3.5
   460 |     2 |    -10.10 |   -10.10 |     0.00 |     0.00 |   0.1498 |    3.28 |   30.0 |   0.0% |     0/18 |      7.4
   470 |     1 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1498 |    1.18 |   30.0 |   0.0% |      0/7 |      4.8
   480 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1498 |    2.27 |   30.0 |  10.0% |     1/18 |      6.6
   490 |     3 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1498 |    3.36 |   30.0 |   0.0% |      0/6 |    306.2
   500 |     1 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1498 |    1.78 |   30.0 |   0.0% |     0/16 |    320.1
   510 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1498 |    2.06 |   30.0 |   0.0% |      0/6 |    408.4
   520 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    0.83 |   30.0 |  10.0% |     1/16 |      3.5
   530 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1498 |    0.84 |   30.0 |   0.0% |      0/0 |      4.1
   540 |     3 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1498 |    4.17 |   30.0 |   0.0% |     0/12 |     10.7
   550 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    5.26 |   30.0 |   0.0% |     0/19 |     10.5
   560 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.24 |   30.0 |  10.0% |      1/6 |      3.9
   570 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    1.37 |   30.0 |   0.0% |     1/18 |    331.6
   580 |     3 |    285.28 |     8.34 |   218.40 |    58.54 |   0.1498 |    2.29 |   30.0 |  20.0% |      0/7 |     10.0
   590 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.58 |   30.0 |   0.0% |     2/15 |      4.2
   600 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    0.54 |   30.0 |   0.0% |      0/7 |      3.8
   610 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    0.66 |   30.0 |   0.0% |     0/16 |      4.3
   620 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.51 |   30.0 |   0.0% |      0/2 |      4.0
   630 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.41 |   30.0 |  10.0% |     0/11 |      3.6
   640 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.18 |   30.0 |   0.0% |      0/2 |      3.4
   650 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    1.30 |   30.0 |  20.0% |     2/13 |    303.2
   660 |     4 |     -6.52 |    -6.52 |     0.00 |     0.00 |   0.1498 |    4.78 |   30.0 |   0.0% |      0/4 |     14.7
   670 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1498 |    1.69 |   30.0 |   0.0% |     0/13 |      3.9
   680 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.23 |   30.0 |   0.0% |      0/2 |      4.2
   690 |     2 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1498 |    2.95 |   30.0 |   0.0% |     0/13 |    322.0
   700 |     2 |    -10.11 |   -10.11 |     0.00 |     0.00 |   0.1497 |    2.72 |   30.0 |   0.0% |      0/1 |      7.2
   710 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    2.42 |   30.0 |  10.0% |     1/12 |    337.8
   720 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    0.67 |   30.0 |   0.0% |      0/0 |      3.9
   730 |     3 |    333.19 |     8.35 |   263.44 |    61.41 |   0.1497 |    1.90 |   30.0 |  10.0% |     0/10 |     12.0
   740 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    2.96 |   30.0 |   0.0% |      0/0 |    317.2
   750 |     2 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1497 |    2.69 |   30.0 |   0.0% |     0/11 |      7.3
   760 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.06 |   30.0 |   0.0% |     0/19 |      4.1
