Platform: Windows | torch main-process threads: 5 | cpu_count: 6
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:317: UserWarning: WARN: A Box observation space minimum value is -infinity. This is probably too low.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:321: UserWarning: WARN: A Box observation space maximum value is infinity. This is probably too high.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:440: UserWarning: WARN: Not able to test alternative render modes due to the environment not having a spec. Try instantiating the environment through `gymnasium.make`
  logger.warn(
Environment check completed in 0.04s
run_dir: trained\20260715_122429\smart_cuda_brake
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
   380 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1499 |    2.30 |   30.0 |   0.0% |      0/7 |    102.7
   390 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1499 |    2.40 |   30.0 |   0.0% |     0/17 |    130.5
   400 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1499 |    1.51 |   30.0 |   0.0% |      0/5 |     71.3
   410 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1499 |    1.31 |   30.0 |   0.0% |     0/17 |     55.8
   420 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1499 |    0.26 |   30.0 |   0.0% |      0/4 |     64.9
   430 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1499 |    1.25 |   30.0 |  10.0% |     1/16 |     56.8
   440 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    1.24 |   30.0 |  10.0% |      0/5 |     54.3
   450 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    4.41 |   30.0 |   0.0% |     0/12 |    154.4
   460 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.09 |   30.0 |  10.0% |      0/5 |     51.2
   470 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    2.23 |   30.0 |   0.0% |     0/12 |     85.5
   480 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.17 |   30.0 |   0.0% |      0/0 |    141.8
   490 |     2 |    283.31 |     8.34 |   214.50 |    60.47 |   0.1498 |    2.33 |   30.0 |  10.0% |     0/11 |    407.9
   500 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.43 |   30.0 |  10.0% |     2/18 |     68.3
   510 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.42 |   30.0 |  20.0% |      2/9 |     83.2
   520 |     2 |    -10.07 |   -10.07 |     0.00 |     0.00 |   0.1498 |    2.65 |   30.0 |   0.0% |     2/17 |    103.5
   530 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    1.73 |   30.0 |   0.0% |      0/9 |     65.9
   540 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1498 |    1.50 |   30.0 |   0.0% |     0/17 |     46.2
   550 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1498 |    2.77 |   30.0 |   0.0% |      0/8 |    149.4
   560 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1498 |    2.10 |   30.0 |  20.0% |     2/17 |     73.8
   570 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    1.00 |   30.0 |  20.0% |      1/8 |     79.2
   580 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    0.89 |   30.0 |  20.0% |     3/18 |     59.6
   590 |     4 |    226.86 |     8.35 |   161.35 |    57.16 |   0.1498 |    3.10 |   30.0 |  10.0% |      0/5 |    201.0
   600 |     1 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1498 |    1.59 |   30.0 |   0.0% |     1/13 |     99.7
   610 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1498 |    0.99 |   30.0 |   0.0% |      0/3 |     73.3
   620 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1498 |    1.09 |   30.0 |  10.0% |     1/12 |    349.2
   630 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    2.52 |   30.0 |   0.0% |      0/3 |     97.9
   640 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    3.13 |   30.0 |   0.0% |     0/10 |     91.8
   650 |     7 |     -8.60 |    -8.60 |     0.00 |     0.00 |   0.1498 |    5.46 |   30.0 |  10.0% |      0/2 |    387.7
   660 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    2.67 |   30.0 |   0.0% |     0/12 |    150.8
   670 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    1.15 |   30.0 |   0.0% |      0/0 |     64.6
   680 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1498 |    2.31 |   30.0 |   0.0% |     0/12 |    102.9
   690 |     3 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1498 |    4.38 |   30.0 |   0.0% |      0/0 |    135.2
   700 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1498 |    1.34 |   30.0 |  20.0% |     2/10 |     52.7
   710 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.25 |   30.0 |   0.0% |     2/19 |    354.0
   720 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    1.20 |   30.0 |   0.0% |      0/5 |     54.1
   730 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    1.27 |   30.0 |   0.0% |     0/17 |     41.8
   740 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    2.32 |   30.0 |  10.0% |      0/4 |    360.6
   750 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.46 |   30.0 |   0.0% |     0/14 |     51.7
   760 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.20 |   30.0 |  10.0% |      0/5 |     35.4
   770 |     3 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    3.56 |   30.0 |  20.0% |     2/14 |    392.4
   780 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    1.74 |   30.0 |  10.0% |      0/4 |     55.8
   790 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1497 |    1.39 |   30.0 |  30.0% |     3/14 |     59.1
   800 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    2.00 |   30.0 |   0.0% |      0/4 |    127.7
   810 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    1.60 |   30.0 |  10.0% |     1/14 |     75.9
   820 |     2 |    256.74 |     8.34 |   169.68 |    78.72 |   0.1497 |    2.95 |   30.0 |  20.0% |      0/0 |     91.3
   830 |     4 |    225.39 |     8.35 |   156.45 |    60.58 |   0.1497 |    3.20 |   30.0 |  10.0% |     1/12 |    233.4
   840 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    2.17 |   30.0 |  10.0% |     3/18 |     87.4
   850 |     1 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1497 |    1.62 |   30.0 |  10.0% |      1/8 |     57.3
   860 |     3 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    2.13 |   30.0 |   0.0% |     1/16 |    165.1
   870 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    2.43 |   30.0 |   0.0% |      0/3 |    111.6
   880 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    2.97 |   30.0 |   0.0% |     0/11 |    124.1
   890 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    1.12 |   30.0 |   0.0% |      0/5 |     73.8
   900 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    2.84 |   30.0 |   0.0% |     0/13 |    107.3
   910 |     2 |    -10.05 |   -10.05 |     0.00 |     0.00 |   0.1497 |    3.00 |   30.0 |   0.0% |      0/4 |     72.8
   920 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    1.34 |   30.0 |   0.0% |     0/14 |     28.4
   930 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    4.19 |   30.0 |  10.0% |      1/3 |    426.6
   940 |     1 |    -10.06 |   -10.06 |     0.00 |     0.00 |   0.1497 |    1.86 |   30.0 |  10.0% |     1/10 |     46.3
   950 |     2 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1497 |    2.29 |   30.0 |  10.0% |      0/1 |     91.9
   960 |     2 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1497 |    2.42 |   30.0 |   0.0% |      0/7 |    113.8
   970 |     3 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1497 |    3.24 |   30.0 |   0.0% |      0/0 |    449.8
   980 |     2 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1497 |    2.38 |   30.0 |   0.0% |     0/10 |    498.8
   990 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1497 |    1.07 |   30.0 |   0.0% |      0/0 |     47.9
  1000 |     2 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1496 |    2.61 |   30.0 |  10.0% |      0/9 |    121.7
  1010 |     1 |    -10.09 |   -10.09 |     0.00 |     0.00 |   0.1496 |    1.61 |   30.0 |   0.0% |     1/19 |     65.2
  1020 |     1 |    -10.08 |   -10.08 |     0.00 |     0.00 |   0.1496 |    1.73 |   30.0 |   0.0% |      0/7 |     43.8
