Platform: Windows | torch main-process threads: 5 | cpu_count: 6
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:317: UserWarning: WARN: A Box observation space minimum value is -infinity. This is probably too low.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:321: UserWarning: WARN: A Box observation space maximum value is infinity. This is probably too high.
  logger.warn(
E:\Github\AE4350 Project\.conda\Lib\site-packages\gymnasium\utils\env_checker.py:440: UserWarning: WARN: Not able to test alternative render modes due to the environment not having a spec. Try instantiating the environment through `gymnasium.make`
  logger.warn(
Environment check completed in 0.04s
run_dir: trained\20260715_122429\smart_cuda_brake
vec_env: DummyVecEnv
net_arch: [256, 256] | train_freq: 1 | gradient_steps: -1
arch: smart | features_dim: 256 | n_blocks: 2 | activation: relu | head net_arch: [256, 256]
    ep | steps |    reward |    r_pos |   r_fuel |   r_term |    noise |  dv/ref |  cur_d | docked | cur_prog |    ms/ep
 19030 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1436 |    1.52 |  610.0 |  30.0% |     4/12 |    153.2
[curriculum] dock rate < 50% for 3 windows -> regressing to 600.0 m
 19040 |     1 |    -10.20 |   -10.20 |     0.00 |     0.00 |   0.1436 |    1.53 |  600.0 |  10.0% |      0/0 |    164.0
 19050 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.52 |  600.0 |  40.0% |     4/13 |    128.8
[throughput]      32064 timesteps |     31.3 steps/s |  31.91 ms/step
 19060 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1436 |    1.52 |  600.0 |  60.0% |      2/2 |    424.2
 19070 |     2 |    622.72 |     9.94 |   163.63 |   449.16 |   0.1436 |    3.06 |  600.0 |  50.0% |     7/11 |    288.4
 19080 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.53 |  600.0 |  30.0% |      0/0 |    152.7
 19090 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.52 |  600.0 |  20.0% |     3/10 |    160.3
 19100 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.51 |  600.0 |  30.0% |     6/19 |    183.7
[curriculum] dock rate < 50% for 3 windows -> regressing to 590.0 m
 19110 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.53 |  590.0 |  20.0% |      2/6 |    179.9
 19120 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1436 |    1.51 |  590.0 |  20.0% |     4/16 |    190.5
 19130 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.53 |  590.0 |  20.0% |      1/5 |    153.8
 19140 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.51 |  590.0 |  40.0% |     4/13 |    153.2
 19150 |     2 |    233.43 |     9.93 |   165.33 |    58.17 |   0.1436 |    3.02 |  590.0 |  20.0% |      1/3 |    562.0
 19160 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.53 |  590.0 |  30.0% |     5/13 |    461.9
[curriculum] dock rate < 50% for 3 windows -> regressing to 580.0 m
 19170 |     2 |    233.44 |     9.93 |   165.33 |    58.18 |   0.1436 |    3.02 |  580.0 |  50.0% |      0/0 |    281.6
 19180 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.52 |  580.0 |  30.0% |     5/13 |    139.7
 19190 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.53 |  580.0 |  60.0% |      0/0 |    123.3
 19200 |     2 |    233.46 |     9.92 |   165.36 |    58.18 |   0.1436 |    3.02 |  580.0 |  60.0% |     7/12 |    301.8
 19210 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1436 |    1.50 |  580.0 |  20.0% |      0/0 |    121.3
 19220 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1436 |    1.51 |  580.0 |  50.0% |      4/9 |    141.5
[curriculum] dock rate < 50% for 3 windows -> regressing to 570.0 m
 19230 |     1 |    -10.18 |   -10.18 |     0.00 |     0.00 |   0.1436 |    1.52 |  570.0 |  30.0% |      0/0 |    137.7
 19240 |     2 |    234.92 |     9.92 |   166.77 |    58.23 |   0.1436 |    3.00 |  570.0 |  40.0% |      3/9 |    589.3
 19250 |     2 |    657.14 |     9.91 |   164.19 |   483.04 |   0.1436 |    3.05 |  570.0 |  30.0% |     6/18 |    279.0
 19260 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1436 |    1.52 |  570.0 |  40.0% |      2/5 |    158.7
 19270 |     2 |    234.67 |     9.91 |   166.54 |    58.22 |   0.1436 |    3.00 |  570.0 |  30.0% |     5/18 |    255.9
 19280 |     2 |    235.21 |     9.92 |   167.05 |    58.24 |   0.1436 |    2.99 |  570.0 |  70.0% |      4/7 |    225.7
 19290 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.52 |  570.0 |  50.0% |     9/16 |    138.6
[curriculum] dock rate >= 50% -> advancing to 580.0 m
 19300 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1436 |    1.52 |  580.0 |  60.0% |      2/3 |    123.5
 19310 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.52 |  580.0 |  30.0% |     7/16 |    423.9
 19320 |     2 |    233.42 |     9.92 |   165.34 |    58.16 |   0.1436 |    3.02 |  580.0 |  40.0% |      0/3 |    288.0
 19330 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1436 |    1.52 |  580.0 |  20.0% |     4/14 |    586.4
 19340 |     2 |    554.07 |     9.93 |   163.42 |   380.73 |   0.1436 |    3.06 |  580.0 |  40.0% |      0/0 |    263.6
 19350 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1436 |    1.51 |  580.0 |  10.0% |     4/10 |    165.6
[curriculum] dock rate < 50% for 3 windows -> regressing to 570.0 m
 19360 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.51 |  570.0 |  30.0% |      1/3 |    120.0
 19370 |     2 |    542.49 |     9.92 |   163.19 |   369.38 |   0.1435 |    3.06 |  570.0 |  60.0% |     5/11 |    247.6
 19380 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.52 |  570.0 |  50.0% |    10/19 |    143.6
[curriculum] dock rate >= 50% -> advancing to 580.0 m
 19390 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.52 |  580.0 |  40.0% |      4/9 |    167.3
 19400 |     2 |    233.38 |     9.92 |   165.30 |    58.17 |   0.1435 |    3.02 |  580.0 |  60.0% |     9/19 |    227.9
[curriculum] dock rate >= 50% -> advancing to 590.0 m
 19410 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.52 |  590.0 |  60.0% |      2/4 |    120.1
 19420 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.53 |  590.0 |  40.0% |     7/12 |    166.9
 19430 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.53 |  590.0 |  30.0% |      2/4 |    435.6
 19440 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.53 |  590.0 |  70.0% |     6/11 |    120.3
 19450 |     2 |    233.38 |     9.92 |   165.30 |    58.16 |   0.1435 |    3.02 |  590.0 |  30.0% |      1/4 |    330.6
 19460 |     2 |    633.87 |     9.93 |   163.36 |   460.58 |   0.1435 |    3.06 |  590.0 |  30.0% |     4/12 |    295.5
[curriculum] dock rate < 50% for 3 windows -> regressing to 580.0 m
 19470 |     1 |    -10.18 |   -10.18 |     0.00 |     0.00 |   0.1435 |    1.51 |  580.0 |  30.0% |      0/0 |    170.7
 19480 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1435 |    1.52 |  580.0 |  20.0% |     2/10 |    189.4
 19490 |     2 |    630.58 |     9.93 |   164.15 |   456.51 |   0.1435 |    3.05 |  580.0 |  40.0% |     4/19 |    331.4
 19500 |     2 |    598.96 |     9.92 |   163.56 |   425.48 |   0.1435 |    3.06 |  580.0 |  30.0% |      0/3 |    345.9
 19510 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.52 |  580.0 |  10.0% |     3/14 |    177.5
 19520 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.50 |  580.0 |  20.0% |      0/0 |    221.6
 19530 |     2 |    449.46 |     9.91 |   163.91 |   275.64 |   0.1435 |    3.05 |  580.0 |  30.0% |     2/13 |    299.1
[curriculum] dock rate < 50% for 3 windows -> regressing to 570.0 m
 19540 |     1 |    -10.18 |   -10.18 |     0.00 |     0.00 |   0.1435 |    1.52 |  570.0 |  40.0% |      0/0 |    474.2
 19550 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1435 |    1.51 |  570.0 |  50.0% |     5/11 |    140.1
 19560 |     2 |    233.79 |     9.92 |   165.70 |    58.17 |   0.1435 |    3.02 |  570.0 |  50.0% |      0/0 |    607.8
 19570 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.53 |  570.0 |  30.0% |     5/10 |    521.8
 19580 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1435 |    1.53 |  570.0 |  20.0% |      0/0 |    153.0
 19590 |     2 |    509.66 |     9.92 |   163.87 |   335.88 |   0.1435 |    3.05 |  570.0 |  50.0% |     4/11 |    296.5
[curriculum] dock rate < 50% for 3 windows -> regressing to 560.0 m
 19600 |     1 |    -10.20 |   -10.20 |     0.00 |     0.00 |   0.1435 |    1.51 |  560.0 |  30.0% |      0/0 |    175.1
 19610 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.52 |  560.0 |  10.0% |     1/10 |   2484.3
 19620 |     2 |    587.74 |     9.92 |   163.16 |   414.67 |   0.1435 |    3.06 |  560.0 |  40.0% |     3/19 |    576.2
 19630 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1435 |    1.51 |  560.0 |  30.0% |      2/5 |    149.8
 19640 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1435 |    1.52 |  560.0 |  40.0% |     5/14 |    166.4
 19650 |     2 |    586.45 |     9.93 |   163.55 |   412.97 |   0.1435 |    3.06 |  560.0 |  40.0% |      1/4 |    303.3
 19660 |     2 |    233.54 |     9.92 |   165.46 |    58.16 |   0.1435 |    3.02 |  560.0 |  30.0% |     4/12 |    273.3
[curriculum] dock rate < 50% for 3 windows -> regressing to 550.0 m
 19670 |     2 |    233.41 |     9.92 |   165.33 |    58.16 |   0.1435 |    3.02 |  550.0 |  60.0% |      0/0 |    255.8
 19680 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1435 |    1.52 |  550.0 |  20.0% |     6/14 |    125.1
[curriculum] dock rate >= 50% -> advancing to 560.0 m
 19690 |     1 |     -9.84 |    -9.84 |     0.00 |     0.00 |   0.1435 |    1.51 |  560.0 |  60.0% |      0/0 |    140.7
 19700 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1435 |    1.51 |  560.0 |  40.0% |     5/13 |    129.6
 19710 |     2 |    597.32 |     9.91 |   163.36 |   424.04 |   0.1435 |    3.06 |  560.0 |  50.0% |      0/0 |    261.4
 19720 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.51 |  560.0 |  30.0% |     4/10 |    167.6
 19730 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  40.0% |     7/18 |    175.0
 19740 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.53 |  560.0 |  20.0% |      0/4 |    145.9
 19750 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  40.0% |     5/17 |    446.4
[curriculum] dock rate < 50% for 3 windows -> regressing to 550.0 m
 19760 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1434 |    1.53 |  550.0 |  40.0% |      2/4 |    158.7
 19770 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.52 |  550.0 |  40.0% |     4/13 |    128.2
 19780 |     2 |    515.88 |     9.91 |   163.61 |   342.36 |   0.1434 |    3.06 |  550.0 |  40.0% |      2/5 |    305.4
 19790 |     2 |    615.63 |     9.91 |   163.64 |   442.08 |   0.1434 |    3.06 |  550.0 |  40.0% |     5/13 |    281.1
 19800 |     2 |    233.80 |     9.91 |   165.71 |    58.18 |   0.1434 |    3.02 |  550.0 |  20.0% |      0/1 |    220.2
 19810 |     2 |    505.24 |     9.92 |   163.69 |   331.63 |   0.1434 |    3.05 |  550.0 |  90.0% |      6/8 |    248.8
[curriculum] dock rate >= 50% -> advancing to 560.0 m
 19820 |     1 |     -9.85 |    -9.85 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  30.0% |      0/0 |    152.4
 19830 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.53 |  560.0 |  30.0% |     3/10 |    153.6
 19840 |     2 |    589.63 |     9.93 |   163.37 |   416.33 |   0.1434 |    3.06 |  560.0 |  50.0% |      0/0 |    192.4
 19850 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  50.0% |     6/10 |    166.6
 19860 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.51 |  560.0 |  20.0% |      0/0 |    177.8
 19870 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  10.0% |     1/10 |    132.2
[curriculum] dock rate < 50% for 3 windows -> regressing to 550.0 m
 19880 |     1 |    -10.20 |   -10.20 |     0.00 |     0.00 |   0.1434 |    1.51 |  550.0 |  40.0% |      0/0 |    153.9
 19890 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  550.0 |  40.0% |      4/8 |    177.3
 19900 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  550.0 |  30.0% |     6/17 |    152.5
 19910 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1434 |    1.53 |  550.0 |  20.0% |      2/6 |    177.9
 19920 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1434 |    1.53 |  550.0 |  40.0% |     6/19 |    152.7
 19930 |     2 |    234.06 |     9.91 |   165.96 |    58.19 |   0.1434 |    3.01 |  550.0 |  40.0% |      2/3 |    252.2
 19940 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.53 |  550.0 |  40.0% |     5/13 |    132.5
[curriculum] dock rate < 50% for 3 windows -> regressing to 540.0 m
 19950 |     1 |    -10.22 |   -10.22 |     0.00 |     0.00 |   0.1434 |    1.52 |  540.0 |  30.0% |      0/0 |    162.6
 19960 |     2 |    233.34 |     9.91 |   165.27 |    58.16 |   0.1434 |    3.03 |  540.0 |  40.0% |     3/12 |    227.0
 19970 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  540.0 |  60.0% |      3/4 |    125.1
 19980 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1434 |    1.51 |  540.0 |  70.0% |     8/11 |    131.2
[curriculum] dock rate >= 50% -> advancing to 550.0 m
 19990 |     2 |    233.37 |     9.92 |   165.30 |    58.14 |   0.1434 |    3.02 |  550.0 |  50.0% |      0/0 |    285.6
 20000 |     2 |    233.37 |     9.93 |   165.28 |    58.16 |   0.1434 |    3.03 |  550.0 |  50.0% |      4/7 |    241.0
[curriculum] dock rate >= 50% -> advancing to 560.0 m
 20010 |     1 |     -9.84 |    -9.84 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  50.0% |      0/0 |    175.0
 20020 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  20.0% |      2/8 |    160.4
 20030 |     2 |    233.40 |     9.92 |   165.30 |    58.17 |   0.1434 |    3.02 |  560.0 |  30.0% |     4/19 |    323.7
 20040 |     2 |    671.54 |     9.93 |   165.11 |   496.50 |   0.1434 |    3.03 |  560.0 |  70.0% |      5/8 |    635.1
 20050 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  20.0% |     9/19 |    161.1
 20060 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1434 |    1.52 |  560.0 |  30.0% |      3/5 |    188.7
 20070 |     2 |    519.72 |     9.92 |   163.72 |   346.07 |   0.1434 |    3.05 |  560.0 |  70.0% |     9/17 |    321.2
[curriculum] dock rate >= 50% -> advancing to 570.0 m
 20080 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1433 |    1.52 |  570.0 |  30.0% |      3/6 |    548.4
 20090 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.51 |  570.0 |  50.0% |     4/13 |    103.5
 20100 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.53 |  570.0 |  20.0% |      0/0 |    243.3
 20110 |     2 |    637.81 |     9.92 |   165.17 |   462.72 |   0.1433 |    3.03 |  570.0 |  40.0% |     3/12 |    227.6
 20120 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.53 |  570.0 |  30.0% |      0/0 |    142.3
 20130 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.52 |  570.0 |  40.0% |      4/9 |    201.1
 20140 |     2 |    487.58 |     9.92 |   163.79 |   313.87 |   0.1433 |    3.05 |  570.0 |  30.0% |     6/18 |    409.0
[curriculum] dock rate < 50% for 3 windows -> regressing to 560.0 m
 20150 |     2 |    465.20 |     9.92 |   163.90 |   291.38 |   0.1433 |    3.05 |  560.0 |  30.0% |      2/9 |    348.2
 20160 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.53 |  560.0 |  30.0% |     5/18 |    566.5
 20170 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.53 |  560.0 |  20.0% |      1/4 |    295.7
 20180 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.51 |  560.0 |  60.0% |     4/12 |    182.3
 20190 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.52 |  560.0 |  10.0% |      0/0 |    201.9
 20200 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1433 |    1.51 |  560.0 |  30.0% |     4/13 |    190.2
[curriculum] dock rate < 50% for 3 windows -> regressing to 550.0 m
 20210 |     1 |    -10.19 |   -10.19 |     0.00 |     0.00 |   0.1433 |    1.52 |  550.0 |  40.0% |      0/0 |    536.8
 20220 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.53 |  550.0 |  30.0% |     2/10 |    834.5
 20230 |     2 |    233.12 |     9.91 |   165.07 |    58.14 |   0.1433 |    3.03 |  550.0 |  40.0% |     5/18 |    315.8
 20240 |     2 |    233.85 |     9.91 |   165.76 |    58.17 |   0.1433 |    3.02 |  550.0 |  20.0% |      0/4 |    347.9
 20250 |     2 |    574.13 |     9.92 |   165.19 |   399.02 |   0.1433 |    3.03 |  550.0 |  20.0% |     3/14 |    355.2
 20260 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.52 |  550.0 |  30.0% |      0/3 |    140.8
 20270 |     2 |    641.71 |     9.92 |   163.75 |   468.05 |   0.1433 |    3.05 |  550.0 |  50.0% |     6/16 |    240.2
[curriculum] dock rate >= 50% -> advancing to 560.0 m
 20280 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.53 |  560.0 |  50.0% |      2/4 |    147.1
 20290 |     2 |    234.74 |     9.91 |   166.61 |    58.22 |   0.1433 |    3.00 |  560.0 |  60.0% |     6/12 |    383.1
 20300 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.53 |  560.0 |  30.0% |      0/0 |    189.9
 20310 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.53 |  560.0 |  30.0% |     5/13 |    170.4
 20320 |     2 |    234.71 |     9.92 |   166.56 |    58.23 |   0.1433 |    3.00 |  560.0 |  40.0% |      0/0 |    694.8
 20330 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.52 |  560.0 |  20.0% |     4/11 |    215.3
 20340 |     2 |    593.14 |     9.91 |   163.72 |   419.50 |   0.1433 |    3.05 |  560.0 |  40.0% |     7/18 |    271.3
[curriculum] dock rate < 50% for 3 windows -> regressing to 550.0 m
 20350 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1433 |    1.52 |  550.0 |  40.0% |      1/4 |    155.1
 20360 |     2 |    515.93 |     9.91 |   163.49 |   342.53 |   0.1433 |    3.06 |  550.0 |  60.0% |     6/16 |    261.0
 20370 |     2 |    233.43 |     9.92 |   165.34 |    58.17 |   0.1433 |    3.02 |  550.0 |  10.0% |      0/5 |    920.1
 20380 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1433 |    1.52 |  550.0 |  20.0% |     3/15 |    874.8
 20390 |     2 |    617.80 |     9.91 |   164.49 |   443.41 |   0.1433 |    3.04 |  550.0 |  50.0% |      1/2 |    330.9
 20400 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1433 |    1.50 |  550.0 |  10.0% |     6/13 |    211.0
[curriculum] dock rate < 50% for 3 windows -> regressing to 540.0 m
 20410 |     2 |    233.39 |    10.11 |   165.14 |    58.14 |   0.1433 |    3.03 |  540.0 |  40.0% |      2/4 |    288.8
 20420 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.53 |  540.0 |  60.0% |     8/11 |    195.5
[curriculum] dock rate >= 50% -> advancing to 550.0 m
 20430 |     1 |     -9.82 |    -9.82 |     0.00 |     0.00 |   0.1433 |    1.53 |  550.0 |  40.0% |      0/0 |    240.0
 20440 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.53 |  550.0 |  30.0% |     3/10 |    251.5
 20450 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1433 |    1.52 |  550.0 |  10.0% |      0/0 |    192.0
 20460 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.53 |  550.0 |  20.0% |      1/9 |    522.7
 20470 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1432 |    1.53 |  550.0 |  30.0% |     4/18 |    155.0
 20480 |     2 |    233.92 |     9.92 |   165.82 |    58.18 |   0.1432 |    3.02 |  550.0 |  50.0% |      1/3 |    366.3
 20490 |     2 |    674.09 |     9.92 |   165.83 |   498.35 |   0.1432 |    3.02 |  550.0 |  60.0% |     8/16 |    688.9
[curriculum] dock rate < 50% for 3 windows -> regressing to 540.0 m
 20500 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.51 |  540.0 |  10.0% |      0/4 |    176.8
 20510 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.52 |  540.0 |  30.0% |     4/13 |    214.7
 20520 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.52 |  540.0 |  30.0% |      0/0 |    235.9
[throughput]      34068 timesteps |     30.1 steps/s |  33.21 ms/step
 20530 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1432 |    1.53 |  540.0 |   0.0% |     0/11 |    515.3
 20540 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.53 |  540.0 |  20.0% |      0/0 |    156.9
 20550 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.52 |  540.0 |  50.0% |      5/7 |    210.9
[curriculum] dock rate < 50% for 3 windows -> regressing to 530.0 m
 20560 |     1 |    -10.20 |   -10.20 |     0.00 |     0.00 |   0.1432 |    1.53 |  530.0 |  40.0% |      0/0 |    196.9
 20570 |     2 |    574.21 |     9.91 |   164.17 |   400.12 |   0.1432 |    3.05 |  530.0 |  30.0% |     2/10 |    345.9
 20580 |     2 |    615.62 |     9.92 |   163.82 |   441.88 |   0.1432 |    3.05 |  530.0 |  70.0% |      0/0 |    293.4
 20590 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.53 |  530.0 |  50.0% |      5/8 |    167.7
 20600 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.51 |  530.0 |  60.0% |    12/19 |    611.6
[curriculum] dock rate >= 50% -> advancing to 540.0 m
 20610 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1432 |    1.51 |  540.0 |  20.0% |      1/5 |    576.8
 20620 |     2 |    533.53 |     9.91 |   165.27 |   358.34 |   0.1432 |    3.03 |  540.0 |  60.0% |     6/16 |    327.2
 20630 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1432 |    1.51 |  540.0 |  30.0% |      1/4 |    535.3
 20640 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1432 |    1.52 |  540.0 |  20.0% |     3/14 |    140.9
 20650 |     2 |    233.44 |     9.92 |   165.35 |    58.16 |   0.1432 |    3.02 |  540.0 |  50.0% |      0/0 |    585.5
 20660 |     1 |    -10.03 |   -10.03 |     0.00 |     0.00 |   0.1432 |    1.51 |  540.0 |  20.0% |     3/10 |    203.5
[curriculum] dock rate < 50% for 3 windows -> regressing to 530.0 m
 20670 |     1 |    -10.20 |   -10.20 |     0.00 |     0.00 |   0.1432 |    1.52 |  530.0 |  20.0% |      0/0 |    211.9
 20680 |     1 |    -10.04 |   -10.04 |     0.00 |     0.00 |   0.1432 |    1.53 |  530.0 |  10.0% |     1/10 |    170.7
 20690 |     2 |    325.66 |     9.91 |   252.56 |    63.19 |   0.1432 |    1.98 |  530.0 |  50.0% |      0/0 |    264.8
 20700 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.52 |  530.0 |  40.0% |      5/9 |    511.9
 20710 |     2 |    332.27 |     9.91 |   258.83 |    63.52 |   0.1432 |    1.93 |  530.0 |  50.0% |     8/17 |    313.8
 20720 |     2 |    352.94 |     9.91 |   278.41 |    64.62 |   0.1432 |    1.80 |  530.0 |  20.0% |      0/4 |    360.8
 20730 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.53 |  530.0 |  50.0% |     7/16 |    513.2
[curriculum] dock rate < 50% for 3 windows -> regressing to 520.0 m
 20740 |     1 |    -10.01 |   -10.01 |     0.00 |     0.00 |   0.1432 |    1.51 |  520.0 |  40.0% |      2/5 |    189.9
 20750 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.52 |  520.0 |  50.0% |     7/16 |    447.1
[curriculum] dock rate >= 50% -> advancing to 530.0 m
 20760 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.50 |  530.0 |  70.0% |      2/3 |    156.3
 20770 |     1 |    -10.02 |   -10.02 |     0.00 |     0.00 |   0.1432 |    1.51 |  530.0 |  40.0% |     9/17 |    218.3
 20780 |     1 |    -10.00 |   -10.00 |     0.00 |     0.00 |   0.1432 |    1.52 |  530.0 |  10.0% |      0/0 |    255.1
